"Este","Norte","Cota","Tipo_Cap","Geol","Prof_seco_","head"
1127514,1126161,2500,"Aljibe","Deposito Aluvial - Qal",2.17,2497.83
1129001,1126138,2526,"Aljibe","Deposito Aluvial - Qal",9,2517
1123234,1125956,2496,"Aljibe","Deposito Aluvial - Qal",1.59,2494.41
1122819,1126290,2498,"Aljibe","Deposito Aluvial - Qal",1.5,2496.5
1122313,1126425,2505,"Aljibe","Deposito Aluvial - Qal",3.9,2501.1
1121560,1127003,2497,"Aljibe","Deposito Aluvial - Qal",0.8,2496.2
1121227,1127101,2496,"Aljibe","Deposito Aluvial - Qal",1.89,2494.11
1120525,1127145,2504,"Aljibe","Deposito Aluvial - Qal",7.2,2496.8
1120571,1127667,2501,"Aljibe","Deposito Aluvial - Qal",0.4,2500.6
1120221,1127687,2501,"Aljibe","Deposito Aluvial - Qal",0.4,2500.6
1128806,1127759,2507,"Aljibe","Deposito Aluvial - Qal",3.4,2503.6
1128808,1129160,2506,"Aljibe","Deposito Aluvial - Qal",2.8,2503.2
1128821,1129179,2510,"Aljibe","Deposito Aluvial - Qal",3.7,2506.3
1124748,1127662,2502,"Aljibe","Deposito Aluvial - Qal",3.02,2498.98
1123469,1128507,2507,"Aljibe","Deposito Aluvial - Qal",1,2506
1123150,1129816,2534,"Aljibe","Deposito Aluvial - Qal",3.63,2530.37
1122815,1130172,2493,"Aljibe","Deposito Aluvial - Qal",0.25,2492.75
1122412,1131660,2507,"Aljibe","Deposito Aluvial - Qal",0.35,2506.65
1122333,1132475,2522,"Aljibe","Deposito Aluvial - Qal",1,2521
1128637,1128986,2498,"Aljibe","Deposito Aluvial - Qal",0.6,2497.4
1122828,1120069,2508,"Aljibe","Deposito Aluvial - Qal",1.3,2506.7
1129539,1128463,2503,"Aljibe","Deposito Aluvial - Qal",1,2502
1126391,1125925,2504,"Aljibe","Deposito Aluvial - Qal",2.5,2501.5
1126746,1126643,2498,"Aljibe","Deposito Aluvial - Qal",1.1,2496.9
1127012,1127470,2495,"Aljibe","Deposito Aluvial - Qal",0.6,2494.4
1126802,1126390,2497,"Aljibe","Deposito Aluvial - Qal",1.8,2495.2
1127185,1126610,2499,"Aljibe","Deposito Aluvial - Qal",1.7,2497.3
1126598,1126821,2498,"Aljibe","Deposito Aluvial - Qal",1.12,2496.88
1126630,1126939,2498,"Aljibe","Deposito Aluvial - Qal",0.85,2497.15
1126581,1127246,2497,"Aljibe","Deposito Aluvial - Qal",0.6,2496.4
1126243,1127516,2506,"Aljibe","Deposito Aluvial - Qal",0.6,2505.4
1126318,1123723,2502,"Aljibe","Deposito Aluvial - Qal",1.78,2500.22
